date,price_sk,price_ss,transaction_sk,transaction_ss,oil,snp,shanghai,kospi,hold_sk,hold_ss,exchange,export
2015-05-01,46800.0,1400000.0,2239896.0,165674.0,59.0,2108.29,4480.0,267.0,52.04,51.67,1081.0,123866.66666666667
2015-05-04,46800.0,1400000.0,2239896.0,165674.0,59.0,2114.49,4480.0,267.0,52.04,51.67,1081.0,123866.66666666667
2015-05-05,46050.0,1381000.0,2765923.0,215542.0,60.0,2089.46,4299.0,265.5,52.05,51.65000000000001,1081.0,123866.66666666667
2015-05-06,45300.0,1362000.0,3291950.0,265410.0,61.0,2080.15,4229.0,264.0,52.06,51.63,1081.0,123866.66666666667
2015-05-07,45900.0,1370000.0,2142745.0,205148.0,59.0,2088.0,4112.0,262.0,52.11,51.62,1093.0,123866.66666666667
2015-05-08,46100.0,1338000.0,1867737.5,189762.0,59.0,2116.1,4206.0,261.0,52.18,51.59,1090.0,123866.66666666667
2015-05-11,46300.0,1336000.0,1592730.0,192809.0,59.0,2105.33,4334.0,261.0,52.22,51.61,1092.0,123866.66666666667
2015-05-12,46050.0,1331000.0,2364231.0,212664.0,61.0,2099.12,4401.0,261.0,52.2,51.62,1097.0,123866.66666666667
2015-05-13,45250.0,1333000.0,1896100.0,197545.0,61.0,2098.48,4376.0,263.0,52.18,51.62,1098.0,123866.66666666667
2015-05-14,45550.0,1340000.0,1889682.0,169770.0,60.0,2121.1,4378.0,264.0,52.23,51.63,1091.0,123866.66666666667
2015-05-15,45300.0,1326000.0,1215027.0,178447.0,60.0,2122.73,4309.0,261.0,52.27,51.64,1087.0,123866.66666666667
2015-05-18,45450.0,1320000.0,2195599.0,192537.0,59.0,2129.2,4283.0,262.0,52.29,51.63,1087.0,123866.66666666667
2015-05-19,46100.0,1338000.0,1510095.0,173618.0,58.0,2127.83,4418.0,263.0,52.36,51.66,1090.0,123866.66666666667
2015-05-20,46850.0,1366000.0,1784488.0,205829.0,59.0,2125.85,4446.0,265.0,52.44,51.7,1097.0,123866.66666666667
2015-05-21,46350.0,1352000.0,1880002.0,144212.0,61.0,2130.82,4529.0,263.0,52.43,51.73,1092.0,123866.66666666667
2015-05-22,46900.0,1350000.0,2451543.333333333,163916.0,60.0,2126.06,4658.0,266.0,52.54,51.72,1091.0,123866.66666666667
2015-05-25,47450.0,1356000.0,3023084.666666667,182299.5,60.0,2115.13,4814.0,265.5,52.615,51.725,1098.5,123866.66666666667
2015-05-26,48000.0,1362000.0,3594626.0,200683.0,58.0,2104.2,4911.0,265.0,52.69,51.73,1106.0,123866.66666666667
2015-05-27,48450.0,1314000.0,3441135.0,345309.0,58.0,2123.48,4942.0,260.0,52.77,51.71,1105.0,123866.66666666667
2015-05-28,49650.0,1309000.0,5512264.0,300963.0,58.0,2120.79,4620.0,260.0,52.99,51.72,1106.0,123866.66666666667
2015-05-29,51100.0,1307000.0,6512595.0,347615.0,60.0,2107.39,4612.0,260.0,53.15,51.71,1109.0,123866.66666666667
2015-06-01,50600.0,1291000.0,4623131.0,218439.0,60.0,2111.73,4829.0,259.0,53.26,51.71,1113.0,130370.90909090909
2015-06-02,51200.0,1303000.0,2173205.0,175151.0,61.0,2109.6,4911.0,256.0,53.28,51.73,1113.0,130370.90909090909
2015-06-03,49800.0,1273000.0,2724813.0,235388.0,60.0,2114.07,4910.0,254.0,53.27,51.72,1107.0,130370.90909090909
2015-06-04,48300.0,1337000.0,3262007.0,388239.0,58.0,2095.84,4947.0,255.0,53.29,51.82,1110.0,130370.90909090909
2015-06-05,49050.0,1341000.0,2134371.0,196563.0,59.0,2092.83,5023.0,255.0,53.33,51.82,1113.0,130370.90909090909
2015-06-08,48525.0,1314000.0,2151636.5,202379.0,58.0,2079.28,5132.0,254.0,53.23,51.8,1123.0,130370.90909090909
2015-06-09,48000.0,1282000.0,2168902.0,274705.0,60.0,2080.15,5114.0,254.0,53.2,51.76,1120.0,130370.90909090909
2015-06-10,47500.0,1262000.0,2649918.0,250034.0,61.0,2105.2,5106.0,252.0,53.22,51.72,1110.0,130370.90909090909
2015-06-11,47100.0,1257000.0,2696182.0,306281.0,61.0,2108.86,5122.0,252.0,53.24,51.71,1112.0,130370.90909090909
2015-06-12,46550.0,1277000.0,2307036.0,234830.0,60.0,2094.11,5166.0,252.0,53.2,51.73,1117.0,130370.90909090909
2015-06-15,46150.0,1270000.0,1775422.0,161356.0,60.0,2084.43,5063.0,251.0,53.16,51.75,1117.0,130370.90909090909
2015-06-16,44200.0,1255000.0,6161260.0,255352.0,60.0,2096.29,4887.0,248.0,52.94,51.74,1119.0,130370.90909090909
2015-06-17,44950.0,1254000.0,3461566.0,189046.0,60.0,2100.44,4968.0,249.0,52.96,51.75,1118.0,130370.90909090909
2015-06-18,44300.0,1265000.0,2225236.0,164952.0,60.0,2121.24,4785.0,250.0,52.93,51.74,1103.0,130370.90909090909
2015-06-19,43550.0,1266000.0,3858378.0,141895.0,60.0,2109.99,4478.0,250.0,52.85,51.71,1108.0,130370.90909090909
2015-06-22,43850.0,1281000.0,3267454.5,127418.0,60.0,2122.85,4527.0,251.0,52.77,51.74,1100.0,130370.90909090909
2015-06-23,44150.0,1321000.0,2676531.0,203180.0,61.0,2124.2,4576.0,255.0,52.66,51.79,1105.0,130370.90909090909
2015-06-24,43350.0,1302000.0,2694795.0,203960.0,60.0,2108.58,4690.0,255.0,52.56,51.81,1108.0,130370.90909090909
2015-06-25,43100.0,1269000.0,3270655.0,213916.0,60.0,2102.31,4528.0,254.0,52.5,51.81,1111.0,130370.90909090909
2015-06-26,42000.0,1278000.0,7935060.0,206950.0,60.0,2101.49,4193.0,254.0,52.29,51.84,1120.0,130370.90909090909
2015-06-29,42600.0,1281000.0,4892150.0,230399.0,58.0,2057.64,4053.0,251.0,52.23,51.81,1123.0,130370.90909090909
2015-06-30,42300.0,1268000.0,2598797.0,197407.0,59.0,2063.11,4277.0,252.0,52.15,51.8,1116.0,130370.90909090909
2015-07-01,42800.0,1295000.0,2126825.0,166498.0,57.0,2077.42,4054.0,255.0,52.12,51.84,1121.0,122440.43478260869
2015-07-02,42100.0,1299000.0,2592544.0,164460.0,57.0,2076.78,3913.0,256.0,52.07,51.86,1127.0,122440.43478260869
2015-07-03,42650.0,1268000.0,2903385.0,142604.0,56.0,2072.7700000000004,3687.0,255.0,52.13,51.86,1124.0,122440.43478260869
2015-07-06,42000.0,1230000.0,3043590.0,201999.0,53.0,2068.76,3776.0,248.0,52.0,51.8,1126.0,122440.43478260869
2015-07-07,41350.0,1240000.0,3183795.0,249565.0,52.0,2081.34,3727.0,248.0,51.98,51.79,1134.0,122440.43478260869
2015-07-08,40900.0,1239000.0,3335846.0,235619.0,52.0,2046.68,3507.0,245.0,51.96,51.78,1137.0,122440.43478260869
2015-07-09,40950.0,1265000.0,3018029.0,280610.0,53.0,2051.31,3709.0,247.0,51.87,51.78,1133.0,122440.43478260869
2015-07-10,40850.0,1259000.0,2738522.0,191468.0,53.0,2076.62,3878.0,247.0,51.85,51.77,1130.0,122440.43478260869
2015-07-13,40550.0,1266000.0,3707444.0,153441.0,52.0,2099.6,3970.0,250.0,51.76,51.77,1132.0,122440.43478260869
2015-07-14,37850.0,1225000.0,15180511.0,399794.0,53.0,2108.95,3924.0,249.0,51.53,51.77,1142.0,122440.43478260869
2015-07-15,39300.0,1235000.0,8281669.0,167413.0,51.0,2107.4,3806.0,250.0,51.78,51.77,1145.0,122440.43478260869
2015-07-16,39450.0,1282000.0,2373825.0,223469.0,51.0,2124.29,3823.0,251.0,51.8,51.8,1148.0,122440.43478260869
2015-07-17,39950.0,1305000.0,3352178.0,297233.0,51.0,2126.64,3957.0,250.0,51.8,51.82,1146.0,122440.43478260869
2015-07-20,39500.0,1275000.0,2941800.0,128928.0,50.0,2124.2566666666667,3992.0,249.0,51.69,51.82,1155.0,122440.43478260869
2015-07-21,39050.0,1263000.0,2531422.0,194055.0,51.0,2121.873333333333,4018.0,250.0,51.71,51.8,1154.0,122440.43478260869
2015-07-22,38200.0,1253000.0,3986610.0,268323.0,49.0,2119.49,4026.0,248.0,51.56,51.79,1153.0,122440.43478260869
2015-07-23,39000.0,1234000.0,8215778.0,208965.0,48.0,2117.1066666666666,4124.0,247.0,51.51,51.76,1161.0,122440.43478260869
2015-07-24,38550.0,1229000.0,3411382.0,196584.0,48.0,2114.723333333333,4071.0,245.0,51.48,51.73,1170.0,122440.43478260869
2015-07-27,37250.0,1230000.0,4142170.0,243040.0,47.0,2112.34,3726.0,245.0,51.39,51.7,1168.0,122440.43478260869
2015-07-28,37100.0,1230000.0,3657208.0,267627.0,48.0,2109.9566666666665,3663.0,245.0,51.27,51.69,1167.0,122440.43478260869
2015-07-29,37000.0,1263000.0,3040352.0,274689.0,49.0,2107.5733333333333,3789.0,246.0,51.19,51.69,1161.0,122440.43478260869
2015-07-30,34500.0,1215000.0,9328208.0,308392.0,49.0,2105.19,3706.0,244.0,51.09,51.65,1170.0,122440.43478260869
2015-07-31,37100.0,1185000.0,7074785.0,391589.0,47.0,2102.8066666666664,3664.0,244.0,51.27,51.6,1172.0,122440.43478260869
2015-08-01,37150.0,1180000.0,6070101.0,294240.0,46.0,2100.423333333333,3643.5,242.5,51.255,51.6,1170.0,137129.0909090909
2015-08-03,37200.0,1175000.0,5065417.0,196891.0,45.0,2098.04,3623.0,241.0,51.24,51.6,1168.0,137129.0909090909
2015-08-04,37250.0,1182000.0,4060733.0,256887.0,46.0,2093.32,3757.0,244.0,51.25,51.6,1164.0,137129.0909090909
2015-08-05,37300.0,1159000.0,3330999.0,256050.0,45.0,2099.84,3695.0,243.0,51.21,51.59,1171.0,137129.0909090909
2015-08-06,36100.0,1115000.0,3888988.0,403981.0,45.0,2083.56,3662.0,240.0,51.1,51.55,1168.0,137129.0909090909
2015-08-07,36200.0,1136000.0,3381532.0,275742.0,44.0,2077.57,3744.0,240.0,51.07,51.6,1167.0,137129.0909090909
2015-08-10,36300.0,1141000.0,1336480.0,114450.0,45.0,2104.18,3928.0,239.0,51.08,51.62,1164.0,137129.0909090909
2015-08-11,36100.0,1157000.0,2890084.0,233286.0,43.0,2084.07,3928.0,238.0,51.02,51.64,1177.0,137129.0909090909
2015-08-12,35800.0,1154000.0,2824462.0,223080.0,43.0,2086.05,3886.0,237.0,50.87,51.6,1183.0,137129.0909090909
2015-08-13,36900.0,1140000.0,2748437.0,150411.0,42.0,2083.39,3955.0,237.0,50.86,51.58,1175.0,137129.0909090909
2015-08-14,36275.0,1122000.0,3278226.5,188814.0,43.0,2091.54,3965.0,236.0,50.75,51.55,1179.0,137129.0909090909
2015-08-17,35650.0,1104000.0,3808016.0,227217.0,42.0,2102.44,3994.0,235.0,50.64,51.52,1183.0,137129.0909090909
2015-08-18,34325.0,1131000.0,6310629.0,231672.0,43.0,2096.92,3748.0,235.0,50.57,51.54,1182.0,137129.0909090909
2015-08-19,33000.0,1154000.0,8813242.0,401415.0,41.0,2079.61,3794.0,234.0,50.21,51.63,1183.0,137129.0909090909
2015-08-20,33050.0,1139000.0,4588759.0,216119.0,41.0,2035.73,3664.0,232.0,50.05,51.6,1190.0,137129.0909090909
2015-08-21,32000.0,1101000.0,6084203.0,408851.0,40.0,1970.89,3508.0,227.0,49.79,51.5,1194.0,137129.0909090909
2015-08-24,31050.0,1079000.0,8593829.0,448592.0,38.0,1893.21,3210.0,222.0,49.3,51.41,1202.0,137129.0909090909
2015-08-25,33500.0,1079000.0,11821629.0,392519.0,39.0,1867.61,2965.0,223.0,49.03,51.34,1183.0,137129.0909090909
2015-08-26,33450.0,1067000.0,6534943.0,558952.0,39.0,1940.51,2927.0,228.0,48.69,51.18,1187.0,137129.0909090909
2015-08-27,35500.0,1067000.0,7063277.0,495388.0,43.0,1987.66,3084.0,229.0,48.79,51.1,1180.0,137129.0909090909
2015-08-28,36900.0,1081000.0,7382006.0,462223.0,45.0,1988.87,3232.0,232.0,48.86,51.05,1177.0,137129.0909090909
2015-08-31,35800.0,1089000.0,4408499.0,408309.0,49.0,1972.18,3206.0,233.0,48.78,51.06,1183.0,137129.0909090909
